# Device: {'path': '/dev/ttyACM0', 'speed': 9600, 'driver': 'u-blox'}
      Date      HMS Lat          Lon            Elev    Speed Nsat Mode  Herr Verr Temp
2023-07-18 04:11:04 28.20974000 -82.36396317    36.30   0.03    7   3   11.9  46.5 66.604  
2023-07-18 04:11:05 28.20974050 -82.36396300    36.50   0.07    7   3   11.9  46.5 67.680  
2023-07-18 04:11:06.100000 28.20974100 -82.36396283    36.70   0.00    7   3   11.9  46.5 67.680  
2023-07-18 04:11:07.100000 28.20974150 -82.36396233    36.80   0.00    7   3   11.9  46.5 67.142  
2023-07-18 04:11:08.100000 28.20974183 -82.36396183    36.80   0.00    7   3   11.9  46.5 67.680  
2023-07-18 04:11:09 28.20974150 -82.36396250    36.80   0.04    7   3   11.9  46.5 67.680  
2023-07-18 04:11:10 28.20974167 -82.36396250    36.90   0.02    7   3   11.9  46.5 67.680  
2023-07-18 04:11:11 28.20974300 -82.36396000    37.00   0.05    7   3   11.9  46.5 68.756  
2023-07-18 04:11:12.100000 28.20974350 -82.36395833    37.10   0.00    7   3   11.9  46.5 68.218  
2023-07-18 04:11:13.100000 28.20974417 -82.36395750    37.30   0.00    7   3   12.0  46.5 67.680  
2023-07-18 04:11:14.100000 28.20974417 -82.36395700    37.30   0.00    7   3   12.0  46.5 68.756  
2023-07-18 04:11:15 28.20974417 -82.36395667    37.40   0.07    7   3   12.0  46.5 68.756  
2023-07-18 04:11:16 28.20974450 -82.36395600    37.50   0.10    7   3   12.1  46.5 68.218  
2023-07-18 04:11:17.100000 28.20974450 -82.36395617    37.70   0.00    7   3   12.1  46.7 67.680  
2023-07-18 04:11:18.100000 28.20974467 -82.36395617    37.80   0.00    7   3   12.1  46.7 68.756  
2023-07-18 04:11:19.100000 28.20974600 -82.36395483    37.90   0.00    7   3   12.1  46.7 68.756  
2023-07-18 04:11:20 28.20974583 -82.36395550    37.90   0.06    7   3   12.1  46.7 67.680  
2023-07-18 04:11:21 28.20974633 -82.36395467    38.00   0.06    7   3   12.1  46.7 68.756  
2023-07-18 04:11:22 28.20974767 -82.36395300    38.20   0.14    7   3   12.1  46.7 68.218  
2023-07-18 04:11:23.100000 28.20974883 -82.36395100    38.40   0.00    7   3   12.1  46.7 68.756  
