# Device: {'path': '/dev/ttyACM0', 'speed': 9600, 'driver': 'u-blox'}
      Date      HMS Lat          Lon            Elev    Speed Nsat Mode  Herr Verr Temp
2023-07-18 03:55:27.100000 28.20975717 -82.36392883    28.90   0.00    6   3   17.0  47.8 64.452  
2023-07-18 03:55:28.200000 28.20975650 -82.36392833    29.00   0.00    6   3   17.0  47.8 65.528  
2023-07-18 03:55:29 28.20975583 -82.36392817    29.10   0.07    6   3   17.0  47.8 65.528  
2023-07-18 03:55:30 28.20975600 -82.36392767    29.10   0.08    6   3   17.0  47.8 65.528  
2023-07-18 03:55:31.100000 28.20975583 -82.36392733    29.00   0.00    6   3   17.0  47.8 65.528  
2023-07-18 03:55:32.100000 28.20975600 -82.36392683    29.00   0.00    6   3   17.0  47.8 65.528  
2023-07-18 03:55:33.100000 28.20975667 -82.36392600    28.90   0.00    6   3   17.0  47.8 65.528  
2023-07-18 03:55:34 28.20975617 -82.36392600    29.00   0.08    6   3   17.0  47.8 65.528  
2023-07-18 03:55:35 28.20975650 -82.36392533    29.00   0.05    6   3   17.0  47.8 65.528  
2023-07-18 03:55:36 28.20975650 -82.36392483    29.00   0.00    6   3   17.0  47.8 66.066  
2023-07-18 03:55:37.100000 28.20975650 -82.36392450    28.90   0.00    6   3   17.0  47.8 66.066  
2023-07-18 03:55:38.100000 28.20975667 -82.36392417    28.90   0.00    6   3   17.0  47.8 66.604  
2023-07-18 03:55:39.100000 28.20975783 -82.36392300    28.80   0.00    6   3   17.0  47.8 66.604  
2023-07-18 03:55:40 28.20975767 -82.36392283    28.80   0.06    6   3   17.0  47.8 66.604  
2023-07-18 03:55:41 28.20975717 -82.36392300    28.80   0.02    6   3   17.0  47.8 66.604  
2023-07-18 03:55:42.100000 28.20975717 -82.36392233    28.80   0.00    6   3   17.0  47.8 66.604  
2023-07-18 03:55:43.100000 28.20975633 -82.36392267    28.90   0.00    6   3   17.0  47.8 66.604  
2023-07-18 03:55:44.100000 28.20975600 -82.36392233    28.80   0.00    6   3   17.0  47.8 66.604  
2023-07-18 03:55:45 28.20975583 -82.36392217    28.70   0.02    6   3   17.0  47.8 67.142  
2023-07-18 03:55:46 28.20975583 -82.36392167    28.60   0.05    6   3   17.0  47.8 66.604  
2023-07-18 03:55:47.100000 28.20975617 -82.36392117    28.50   0.00    6   3   17.0  47.8 66.604  
2023-07-18 03:55:48.100000 28.20975583 -82.36392083    28.60   0.00    6   3   17.0  47.8 66.604  
2023-07-18 03:55:49.100000 28.20975550 -82.36392067    28.60   0.00    6   3   17.0  47.8 66.604  
2023-07-18 03:55:50 28.20975500 -82.36392067    28.60   0.08    6   3   17.0  47.8 66.604  
2023-07-18 03:55:51 28.20975517 -82.36392033    28.70   0.14    6   3   17.0  47.8 67.680  
2023-07-18 03:55:52 28.20975450 -82.36392000    28.70   0.06    6   3   17.0  47.8 67.142  
2023-07-18 03:55:53.100000 28.20975400 -82.36391983    28.90   0.00    6   3   17.0  47.8 66.604  
2023-07-18 03:55:54.100000 28.20975417 -82.36391950    29.00   0.00    6   3   17.0  48.1 66.604  
2023-07-18 03:55:55.100000 28.20975467 -82.36391917    29.00   0.00    6   3   17.0  48.1 66.604  
2023-07-18 03:55:56 28.20975483 -82.36391883    29.00   0.04    6   3   17.0  48.1 66.604  
2023-07-18 03:55:57 28.20975517 -82.36391850    29.10   0.12    6   3   17.0  48.1 66.604  
2023-07-18 03:55:58.100000 28.20975550 -82.36391833    29.10   0.00    6   3   17.0  48.1 66.604  
2023-07-18 03:55:59.100000 28.20975567 -82.36391833    29.10   0.00    6   3   17.0  48.1 67.142  
2023-07-18 03:56:00.100000 28.20975617 -82.36391850    29.20   0.00    6   3   17.0  48.1 67.142  
2023-07-18 03:56:01 28.20975617 -82.36391850    29.20   0.02    6   3   17.0  48.1 67.142  
2023-07-18 03:56:02 28.20975633 -82.36391883    29.30   0.14    6   3   17.0  48.1 67.142  
2023-07-18 03:56:03 28.20975633 -82.36391900    29.30   0.08    6   3   17.0  48.1 67.680  
2023-07-18 03:56:04.100000 28.20975617 -82.36391917    29.40   0.00    6   3   17.0  48.1 67.680  
2023-07-18 03:56:05.100000 28.20975617 -82.36391933    29.50   0.00    6   3   17.0  48.1 67.680  
2023-07-18 03:56:06.200000 28.20975600 -82.36391933    29.60   0.00    6   3   17.0  48.1 67.680  
2023-07-18 03:56:07 28.20975600 -82.36391983    29.70   0.14    6   3   17.0  48.1 67.142  
2023-07-18 03:56:08 28.20975567 -82.36392033    29.90   0.14    6   3   17.0  48.1 67.142  
2023-07-18 03:56:09.100000 28.20975550 -82.36392067    30.00   0.00    6   3   17.0  48.1 66.604  
2023-07-18 03:56:10.100000 28.20975500 -82.36392100    30.10   0.00    6   3   17.0  48.1 67.680  
2023-07-18 03:56:11 28.20975450 -82.36392150    30.20   0.06    6   3   17.0  48.1 67.680  
2023-07-18 03:56:12 28.20975450 -82.36392200    30.40   0.11    6   3   17.0  48.1 67.680  
2023-07-18 03:56:13 28.20975467 -82.36392250    30.70   0.06    6   3   17.0  48.1 67.680  
2023-07-18 03:56:14.100000 28.20975517 -82.36392333    30.90   0.00    6   3   17.0  48.1 67.680  
2023-07-18 03:56:15.100000 28.20975550 -82.36392383    31.00   0.00    6   3   17.0  48.1 67.142  
2023-07-18 03:56:16.100000 28.20975583 -82.36392417    31.10   0.00    6   3   17.0  48.1 67.680  
2023-07-18 03:56:17 28.20975567 -82.36392467    31.20   0.03    6   3   17.0  48.1 67.680  
2023-07-18 03:56:18 28.20975550 -82.36392483    31.30   0.16    6   3   17.0  48.1 67.142  
2023-07-18 03:56:19.100000 28.20975583 -82.36392583    31.40   0.00    6   3   17.0  48.1 67.142  
2023-07-18 03:56:20.100000 28.20975467 -82.36392667    31.50   0.00    6   3   17.0  48.1 67.142  
2023-07-18 03:56:21.100000 28.20975533 -82.36392717    31.60   0.00    6   3   17.0  48.1 67.142  
2023-07-18 03:56:22 28.20975617 -82.36392800    31.80   0.03    6   3   17.0  48.1 68.218  
2023-07-18 03:56:23 28.20975650 -82.36392867    32.00   0.13    6   3   17.0  48.1 67.680  
2023-07-18 03:56:24.100000 28.20975700 -82.36392933    32.10   0.00    6   3   17.0  48.1 67.142  
2023-07-18 03:56:25.100000 28.20975717 -82.36392983    32.20   0.00    6   3   17.0  48.1 66.604  
2023-07-18 03:56:26 28.20975733 -82.36393033    32.30   0.02    6   3   17.0  48.1 67.680  
2023-07-18 03:56:27 28.20975800 -82.36393117    32.60   0.08    6   3   17.0  48.1 67.680  
