# Device: {'path': '/dev/ttyACM0', 'speed': 9600, 'driver': 'u-blox'}
      Date      HMS Lat          Lon            Elev    Speed Nsat Mode  Herr Verr Temp
2023-07-18 03:49:14 28.20975617 -82.36392783    22.50   0.00    4   3   25.0  44.9 69.294  
2023-07-18 03:49:15.100000 28.20975650 -82.36392767    22.50   0.00    4   3   25.0  44.9 68.756  
2023-07-18 03:49:16.100000 28.20975683 -82.36392700    22.40   0.00    4   3   25.0  44.9 68.756  
2023-07-18 03:49:17.100000 28.20975650 -82.36392733    22.60   0.00    4   3   25.0  44.9 68.756  
2023-07-18 03:49:18 28.20975683 -82.36392733    22.70   0.00    4   3   25.0  44.9 68.756  
2023-07-18 03:49:19 28.20975733 -82.36392683    22.70   0.00    4   3   25.0  44.9 69.294  
2023-07-18 03:49:20.100000 28.20975750 -82.36392617    22.80   0.00    4   3   25.0  44.9 69.294  
2023-07-18 03:49:21.100000 28.20975800 -82.36392567    22.80   0.00    4   3   25.0  45.1 69.294  
2023-07-18 03:49:22 28.20975833 -82.36392500    22.80   0.00    4   3   25.0  45.1 69.294  
2023-07-18 03:49:23 28.20975833 -82.36392500    23.00   0.00    4   3   25.0  45.1 68.756  
2023-07-18 03:49:24 28.20975900 -82.36392417    22.90   0.00    4   3   25.0  45.1 68.756  
2023-07-18 03:49:25.100000 28.20975950 -82.36392400    23.00   0.00    4   3   25.0  45.1 68.756  
2023-07-18 03:49:26.100000 28.20975983 -82.36392383    23.10   0.00    4   3   25.0  45.1 69.294  
2023-07-18 03:49:27.200000 28.20976000 -82.36392300    23.00   0.00    4   3   25.0  45.1 69.294  
2023-07-18 03:49:28 28.20976050 -82.36392200    22.80   0.00    4   3   25.0  45.1 69.294  
2023-07-18 03:49:29 28.20976050 -82.36392250    23.00   0.00    4   3   25.0  45.1 68.756  
2023-07-18 03:49:30.100000 28.20976100 -82.36392233    23.00   0.00    4   3   25.0  45.1 68.756  
2023-07-18 03:49:31.100000 28.20976133 -82.36392200    22.90   0.00    4   3   25.0  45.1 69.294  
2023-07-18 03:49:32.100000 28.20976167 -82.36392200    23.00   0.00    4   3   25.0  45.1 68.756  
2023-07-18 03:49:33 28.20976200 -82.36392167    23.00   0.00    4   3   25.0  45.1 68.756  
2023-07-18 03:49:34 28.20976250 -82.36392083    23.00   0.00    4   3   25.0  45.1 69.294  
2023-07-18 03:49:35.100000 28.20976267 -82.36392017    23.10   0.00    4   3   25.0  45.1 68.756  
2023-07-18 03:49:36.100000 28.20976300 -82.36391967    23.10   0.00    4   3   25.0  45.1 69.294  
2023-07-18 03:49:37.100000 28.20976350 -82.36391900    23.10   0.00    4   3   25.0  45.1 69.294  
2023-07-18 03:49:38 28.20976367 -82.36391867    23.10   0.00    4   3   25.0  45.1 69.294  
2023-07-18 03:49:39 28.20976417 -82.36391833    23.10   0.00    4   3   25.0  45.1 69.294  
2023-07-18 03:49:40.100000 28.20976500 -82.36391767    23.00   0.00    4   3   25.0  45.1 69.832  
2023-07-18 03:49:41.100000 28.20976517 -82.36391733    23.00   0.00    4   3   25.0  45.1 69.294  
2023-07-18 03:49:42.100000 28.20976517 -82.36391783    23.10   0.00    4   3   25.0  45.1 68.756  
2023-07-18 03:49:43 28.20976567 -82.36391733    23.10   0.00    4   3   25.0  45.1 68.756  
2023-07-18 03:49:44 28.20976633 -82.36391617    23.00   0.00    4   3   25.0  45.1 69.294  
2023-07-18 03:49:45.100000 28.20976683 -82.36391517    23.00   0.00    4   3   25.0  45.1 68.756  
2023-07-18 03:49:46.100000 28.20976733 -82.36391450    23.00   0.00    4   3   25.0  45.1 69.294  
2023-07-18 03:49:47.200000 28.20976767 -82.36391417    23.00   0.00    4   3   25.0  45.1 69.294  
2023-07-18 03:49:48 28.20976767 -82.36391433    23.10   0.00    4   3   25.0  45.1 69.832  
2023-07-18 03:49:49 28.20976783 -82.36391433    23.10   0.00    4   3   25.0  45.1 69.294  
2023-07-18 03:49:50.100000 28.20976817 -82.36391417    23.20   0.00    4   3   25.0  45.1 68.756  
2023-07-18 03:49:51.100000 28.20976850 -82.36391433    23.20   0.00    4   3   25.0  45.1 68.756  
2023-07-18 03:49:52.100000 28.20976850 -82.36391417    23.30   0.00    4   3   25.0  45.1 69.294  
2023-07-18 03:49:53 28.20976883 -82.36391383    23.30   0.00    4   3   25.0  45.1 68.756  
2023-07-18 03:49:54 28.20976933 -82.36391367    23.30   0.00    4   3   25.0  45.1 69.294  
2023-07-18 03:49:55.100000 28.20976983 -82.36391317    23.30   0.00    4   3   25.0  45.1 69.832  
2023-07-18 03:49:56.100000 28.20976983 -82.36391283    23.40   0.00    4   3   25.0  45.1 68.756  
2023-07-18 03:49:57.200000 28.20976983 -82.36391250    23.40   0.00    4   3   25.0  45.1 69.294  
2023-07-18 03:49:58 28.20977000 -82.36391217    23.40   0.00    4   3   25.0  45.1 69.294  
2023-07-18 03:49:59 28.20977000 -82.36391200    23.40   0.00    4   3   25.0  45.1 68.756  
2023-07-18 03:50:00 28.20977017 -82.36391167    23.40   0.00    4   3   25.0  45.1 69.294  
2023-07-18 03:50:01.100000 28.20977050 -82.36391067    23.40   0.00    4   3   25.0  45.1 68.756  
2023-07-18 03:50:02.100000 28.20977083 -82.36390967    23.30   0.00    4   3   25.0  45.1 69.294  
2023-07-18 03:50:03 28.20977117 -82.36390900    23.20   0.00    4   3   25.0  45.1 69.294  
2023-07-18 03:50:04 28.20977150 -82.36390850    23.10   0.00    4   3   25.0  45.1 69.294  
2023-07-18 03:50:05 28.20977133 -82.36390833    23.10   0.00    4   3   25.0  45.1 68.756  
2023-07-18 03:50:06.100000 28.20977167 -82.36390783    23.00   0.00    4   3   25.0  45.1 69.294  
