# Device: {'path': '/dev/ttyACM0', 'speed': 9600, 'driver': 'u-blox'}
      Date      HMS Lat          Lon            Elev    Speed Nsat Mode  Herr Verr Temp
2023-07-18 12:01:22 28.20972967 -82.36389450    44.20   0.00    6   3   14.5  64.2 61.224  
2023-07-18 12:01:23 28.20972950 -82.36389467    44.20   0.00    6   3   14.5  64.2 62.838  
2023-07-18 12:01:24.100000 28.20972900 -82.36389467    44.40   0.00    6   3   14.5  63.9 62.300  
2023-07-18 12:01:25.100000 28.20972900 -82.36389417    44.30   0.00    6   3   14.5  63.9 62.838  
2023-07-18 12:01:26.100000 28.20972867 -82.36389400    44.40   0.00    6   3   14.5  63.9 62.838  
2023-07-18 12:01:27 28.20972867 -82.36389367    44.40   0.00    6   3   14.5  63.9 62.838  
2023-07-18 12:01:28 28.20972850 -82.36389383    44.40   0.00    6   3   14.6  63.9 62.838  
2023-07-18 12:01:29 28.20972817 -82.36389400    44.50   0.00    6   3   14.6  63.9 63.914  
2023-07-18 12:01:30.100000 28.20972750 -82.36389417    44.70   0.00    6   3   14.6  63.9 63.376  
2023-07-18 12:01:31.100000 28.20972717 -82.36389400    44.90   0.00    6   3   14.6  63.9 64.452  
2023-07-18 12:01:32.200000 28.20972717 -82.36389417    45.00   0.00    6   3   14.6  63.9 63.376  
2023-07-18 12:01:33 28.20972733 -82.36389400    45.00   0.00    6   3   14.6  63.9 63.376  
2023-07-18 12:01:34 28.20972717 -82.36389383    45.10   0.00    6   3   14.6  63.9 64.452  
2023-07-18 12:01:35.100000 28.20972700 -82.36389400    45.30   0.00    6   3   14.6  63.9 63.914  
2023-07-18 12:01:36.100000 28.20972683 -82.36389383    45.40   0.00    6   3   14.6  63.9 64.452  
2023-07-18 12:01:37 28.20972683 -82.36389400    45.40   0.00    6   3   14.6  63.9 64.452  
2023-07-18 12:01:38 28.20972667 -82.36389417    45.50   0.00    6   3   14.6  63.9 64.452  
2023-07-18 12:01:39 28.20972650 -82.36389433    45.60   0.00    6   3   14.7  63.9 64.990  
2023-07-18 12:01:40.100000 28.20972617 -82.36389450    45.80   0.00    6   3   14.7  63.9 64.452  
2023-07-18 12:01:41.200000 28.20972617 -82.36389467    45.73   0.00    6   3   14.7  63.9 64.452  
2023-07-18 12:01:42 28.20972617 -82.36389500    45.90   0.00    6   3   14.7  63.9 64.452  
2023-07-18 12:01:43 28.20972617 -82.36389533    45.90   0.00    6   3   14.7  63.9 63.914  
2023-07-18 12:01:44.100000 28.20972583 -82.36389567    46.10   0.00    6   3   14.7  63.9 64.452  
2023-07-18 12:01:45.100000 28.20972583 -82.36389617    46.20   0.00    6   3   14.7  63.9 64.990  
2023-07-18 12:01:46.100000 28.20972600 -82.36389667    46.10   0.00    6   3   14.7  63.9 64.452  
2023-07-18 12:01:47 28.20972600 -82.36389700    46.20   0.00    6   3   14.7  63.9 64.452  
2023-07-18 12:01:48 28.20972617 -82.36389733    46.20   0.00    6   3   14.7  63.7 64.452  
2023-07-18 12:01:49 28.20972617 -82.36389767    46.30   0.00    6   3   14.7  63.7 64.452  
2023-07-18 12:01:50.100000 28.20972600 -82.36389800    46.40   0.00    6   3   14.7  63.7 64.990  
2023-07-18 12:01:51 28.20972583 -82.36389833    46.40   0.00    6   3   14.7  63.7 64.990  
2023-07-18 12:01:52 28.20972567 -82.36389867    46.50   0.00    6   3   14.7  63.7 64.452  
2023-07-18 12:01:53 28.20972550 -82.36389867    46.50   0.00    6   3   14.7  63.7 64.452  
2023-07-18 12:01:54.100000 28.20972517 -82.36389867    46.50   0.00    6   3   14.7  63.7 65.528  
2023-07-18 12:01:55.100000 28.20972500 -82.36389883    46.60   0.00    6   3   14.7  63.7 65.528  
2023-07-18 12:01:56 28.20972517 -82.36389850    46.60   0.00    6   3   14.7  63.7 64.990  
2023-07-18 12:01:57 28.20972483 -82.36389817    46.70   0.00    6   3   14.7  63.7 64.452  
2023-07-18 12:01:58 28.20972483 -82.36389800    46.80   0.00    6   3   14.7  63.7 64.990  
2023-07-18 12:01:59.100000 28.20972433 -82.36389800    46.90   0.00    6   3   14.6  63.7 64.990  
2023-07-18 12:02:00.100000 28.20972433 -82.36389800    47.00   0.00    6   3   14.6  63.7 65.528  
2023-07-18 12:02:01 28.20972433 -82.36389800    46.90   0.00    6   3   14.6  63.7 65.528  
2023-07-18 12:02:02 28.20972433 -82.36389783    47.00   0.00    6   3   14.6  63.7 64.990  
2023-07-18 12:02:03 28.20972417 -82.36389717    47.00   0.00    6   3   14.6  63.7 64.990  
2023-07-18 12:02:04.100000 28.20972400 -82.36389700    47.10   0.00    6   3   14.6  63.7 65.528  
2023-07-18 12:02:05.100000 28.20972367 -82.36389733    47.20   0.00    6   3   14.6  63.7 65.528  
2023-07-18 12:02:06.200000 28.20972360 -82.36389738    46.98   0.00    6   3   14.6  63.7 65.528  
2023-07-18 12:02:07 28.20972367 -82.36389750    47.00   0.00    6   3   14.6  63.7 65.528  
2023-07-18 12:02:08 28.20972350 -82.36389733    46.90   0.00    6   3   14.6  63.7 65.528  
2023-07-18 12:02:09.100000 28.20972383 -82.36389750    46.80   0.00    6   3   14.6  63.7 65.528  
2023-07-18 12:02:10.100000 28.20972400 -82.36389750    46.50   0.00    6   3   14.6  63.7 64.990  
2023-07-18 12:02:11.100000 28.20972400 -82.36389767    46.50   0.00    6   3   14.6  63.5 64.990  
2023-07-18 12:02:12 28.20972400 -82.36389783    46.40   0.00    6   3   14.6  63.5 64.990  
2023-07-18 12:02:13 28.20972383 -82.36389750    46.40   0.00    6   3   14.6  63.5 64.990  
2023-07-18 12:02:14.100000 28.20972383 -82.36389783    46.30   0.00    6   3   14.6  63.5 65.528  
2023-07-18 12:02:15.100000 28.20972350 -82.36389750    46.30   0.00    6   3   14.6  63.5 65.528  
2023-07-18 12:02:16.100000 28.20972367 -82.36389767    46.10   0.00    6   3   14.6  63.5 65.528  
2023-07-18 12:02:17 28.20972383 -82.36389800    45.90   0.00    6   3   14.6  63.5 65.528  
2023-07-18 12:02:18 28.20972400 -82.36389817    45.80   0.00    6   3   14.6  63.5 65.528  
2023-07-18 12:02:19.100000 28.20972433 -82.36389867    45.50   0.00    6   3   14.6  63.5 64.990  
2023-07-18 12:02:20.100000 28.20972417 -82.36389850    45.50   0.00    6   3   14.6  63.5 64.990  
2023-07-18 12:02:21 28.20972400 -82.36389867    45.50   0.00    6   3   14.6  63.5 64.990  
2023-07-18 12:02:22 28.20972417 -82.36389917    45.40   0.00    6   3   14.6  63.5 64.452  
2023-07-18 12:02:23 28.20972433 -82.36389950    45.10   0.00    6   3   14.6  63.5 65.528  
2023-07-18 12:02:24.100000 28.20972450 -82.36389983    44.90   0.00    6   3   14.6  63.5 64.990  
2023-07-18 12:02:25.100000 28.20972433 -82.36389967    44.80   0.00    6   3   14.6  63.5 64.990  
2023-07-18 12:02:26 28.20972400 -82.36389983    44.80   0.00    6   3   14.6  63.5 64.990  
2023-07-18 12:02:27 28.20972383 -82.36390017    44.80   0.00    6   3   14.6  63.5 65.528  
2023-07-18 12:02:28.100000 28.20972367 -82.36390050    44.90   0.00    6   3   14.6  63.5 65.528  
2023-07-18 12:02:29.100000 28.20972383 -82.36390067    44.80   0.00    6   3   14.6  63.5 65.528  
2023-07-18 12:02:30.100000 28.20972383 -82.36390050    44.90   0.00    6   3   14.6  63.5 66.066  
2023-07-18 12:02:31 28.20972350 -82.36390050    45.00   0.00    6   3   14.6  63.5 65.528  
2023-07-18 12:02:32 28.20972367 -82.36390083    44.90   0.00    6   3   14.6  63.5 65.528  
2023-07-18 12:02:33.100000 28.20972333 -82.36390117    45.00   0.00    6   3   14.6  63.5 66.066  
2023-07-18 12:02:34.100000 28.20972350 -82.36390150    44.80   0.00    6   3   14.6  63.2 66.066  
2023-07-18 12:02:35.100000 28.20972333 -82.36390167    44.80   0.00    6   3   14.6  63.2 65.528  
2023-07-18 12:02:36 28.20972350 -82.36390150    44.80   0.00    6   3   14.6  63.2 65.528  
2023-07-18 12:02:37 28.20972367 -82.36390133    44.60   0.00    6   3   14.6  63.2 65.528  
2023-07-18 12:02:38 28.20972383 -82.36390083    44.60   0.00    6   3   14.6  63.2 65.528  
2023-07-18 12:02:39.100000 28.20972400 -82.36390083    44.50   0.00    6   3   14.6  63.2 65.528  
2023-07-18 12:02:40 28.20972417 -82.36390100    44.30   0.00    6   3   14.6  63.2 65.528  
2023-07-18 12:02:41 28.20972417 -82.36390150    44.30   0.00    6   3   14.6  63.2 66.066  
2023-07-18 12:02:42.100000 28.20972433 -82.36390167    44.10   0.00    6   3   14.6  63.2 65.528  
2023-07-18 12:02:43.100000 28.20972433 -82.36390217    44.00   0.00    6   3   14.6  63.2 65.528  
2023-07-18 12:02:44.100000 28.20972450 -82.36390333    43.80   0.00    6   3   14.6  63.2 66.066  
2023-07-18 12:02:45 28.20972500 -82.36390433    43.50   0.00    6   3   14.6  63.2 66.604  
2023-07-18 12:02:46.100000 28.20972500 -82.36390500    43.40   0.00    6   3   14.6  63.2 65.528  
