# Device: {'path': '/dev/ttyACM0', 'speed': 9600, 'driver': 'u-blox'}
      Date      HMS Lat          Lon            Elev    Speed Nsat Mode  Herr Verr Temp
2023-07-18 13:48:33.100000 28.20977683 -82.36389283    23.80   0.00    7   3   12.3  50.4 64.452  
2023-07-18 13:48:34 28.20977700 -82.36389267    23.70   0.00    7   3   12.3  50.4 65.528  
2023-07-18 13:48:35 28.20977733 -82.36389250    23.60   0.00    7   3   12.3  50.4 65.528  
2023-07-18 13:48:36 28.20977750 -82.36389217    23.60   0.00    7   3   12.3  50.4 66.604  
2023-07-18 13:48:37.100000 28.20977783 -82.36389200    23.50   0.00    7   3   12.3  50.4 65.528  
2023-07-18 13:48:38.100000 28.20977800 -82.36389167    23.40   0.00    7   3   12.3  50.4 64.990  
2023-07-18 13:48:39.200000 28.20977817 -82.36389167    23.30   0.00    7   3   12.3  50.4 65.528  
2023-07-18 13:48:40 28.20977817 -82.36389167    23.30   0.00    7   3   12.3  50.4 65.528  
2023-07-18 13:48:41 28.20977833 -82.36389183    23.30   0.00    7   3   12.3  50.4 65.528  
2023-07-18 13:48:42 28.20977833 -82.36389183    23.30   0.00    7   3   12.3  50.4 65.528  
2023-07-18 13:48:43.100000 28.20977833 -82.36389183    23.30   0.00    7   3   12.3  50.4 66.066  
2023-07-18 13:48:44.200000 28.20977833 -82.36389233    23.30   0.00    7   3   12.3  50.4 66.066  
2023-07-18 13:48:45 28.20977833 -82.36389233    23.30   0.00    7   3   12.3  50.4 65.528  
2023-07-18 13:48:46 28.20977833 -82.36389250    23.20   0.00    7   3   12.3  50.4 66.066  
2023-07-18 13:48:47.100000 28.20977850 -82.36389250    23.10   0.00    7   3   12.3  50.4 65.528  
2023-07-18 13:48:48.100000 28.20977850 -82.36389267    23.00   0.00    7   3   12.3  50.4 65.528  
2023-07-18 13:48:49.100000 28.20977867 -82.36389267    23.00   0.00    7   3   12.3  50.4 66.066  
2023-07-18 13:48:50 28.20977883 -82.36389267    22.90   0.00    7   3   12.3  50.4 66.066  
2023-07-18 13:48:51 28.20977883 -82.36389317    22.90   0.00    7   3   12.3  50.4 65.528  
2023-07-18 13:48:52.100000 28.20977883 -82.36389333    22.90   0.00    7   3   12.3  50.6 66.066  
2023-07-18 13:48:53.100000 28.20977867 -82.36389333    22.80   0.00    8   3   11.3  45.8 66.604  
2023-07-18 13:48:54.100000 28.20977867 -82.36389350    22.80   0.00    8   3   11.3  45.8 66.604  
2023-07-18 13:48:55 28.20977867 -82.36389383    22.80   0.00    8   3   11.3  45.8 66.066  
2023-07-18 13:48:56 28.20977850 -82.36389417    22.90   0.00    9   3    9.1  31.5 66.604  
2023-07-18 13:48:57 28.20977850 -82.36389450    22.90   0.00    9   3    9.1  31.5 66.604  
2023-07-18 13:48:58.100000 28.20977867 -82.36389433    22.70   0.00    9   3    9.1  31.5 66.604  
